"","no.users","Discipline","pc.pro","Business","JD.Second","inv.mlsto.log","client.totinv.log","pc.majpos.log","Billing.Type","majority.pos","return.pdol","Year","b.timespan.cbrt","b.inv.log","code.client","code.contact","mlsto","b.rpdol"
"2037",1,"Structural",100,"architect","refurb/renovation",6.87243297605022,10.949842397964,4.60517018598809,"Fixed Quote","seniorpro",0.9,2013,"1d-3wk","600-2.5k","C2680","CN1878","2013.366.3","0"
"2038",2,"Environmental Planning",100,"road_rail_gov_util","waste_wat_manage",8.71548573966582,10.2248497771565,4.57532934397707,"Hourly Rate","seniorpro",0.255230125523013,2013,"1d-3wk","2.5k-8k","C2899",NA,"2013.368.6","0"
"2039",2,"Structural",100,"road_rail_gov_util","edu_exten_community",8.22527940310257,9.07229824986199,4.54637513947759,"Fixed Quote","seniorpro",0.487854251012146,2013,"1d-3wk","2.5k-8k","C2451","CN1800","2013.369.3","0"
"2040",3,"Structural",80.33,"road_rail_gov_util","art_facade_awn_memb",8.57180780646408,8.42060960116888,4.32293989221456,"Fixed Quote","director",0.06583702148081,2013,"9m-1.5y","2.5k-8k","C2644","CN1658","2013.370.3","0"
"2041",2,"Civil",35,"builder","waste_wat_manage",9.2288082436304,9.98899851279667,4.17438726989564,"Fixed Quote","midtech",0.758771929824561,2013,"1d-3wk","8k-60k","C2511",NA,"2013.373.2","0"
"2042",1,"Structural",100,"biz_bldgserv_internal","refurb/renovation",6.23057908987783,6.21460809842219,4.60517018598809,"Fixed Quote","director",0.5625,2013,"1d-3wk","100-600",NA,NA,"2013.377.3","0"
"2043",1,"Structural",100,"builder","hosp_health_carpark",6.41290064667178,6.39692965521615,4.60517018598809,"Hourly Rate","director",0.0714285714285714,2013,"1d-3wk","600-2.5k",NA,NA,"2013.380.3","0"
"2044",2,"Civil",100,"architect","civBldg_subdiv_sewer",9.50772382287,9.31154225248515,4.50313746042294,"Fixed Quote","director",0.0816326530612245,2013,"1d-3wk","8k-60k","C2224","CN1410","2013.382.2","0"
"2045",2,"Structural",36.24,"architect","residential",8.6284743626762,9.31154225248515,4.15512603448196,"Fixed Quote","midtech",0.476510067114094,2013,"3wk-2.5m","2.5k-8k","C2224","CN1410","2013.382.3","0"
"2046",1,"Structural",100,"engineer","hosp_health_carpark",8.53316418287187,7.54299258695713,4.60517018598809,"Fixed Quote","seniorpro",1.56410256410256,2013,"3wk-2.5m","2.5k-8k","C2527","CN1321","2013.383.3","0"
"2047",2,"Structural",75.44,"architect","heritage_expert",9.60543249620038,9.00126366702698,4.3233376383252,"Fixed Quote","director",0.764492753623188,2013,"9m-1.5y","8k-60k","C2869","CN1585","2013.384.3","0"
