"","no.users","Discipline","pc.pro","Business","code.client","JD.Second","timespan.cbrt","inv.mlsto.log","client.totinv.log","pc.majpos.log","code.contact","Billing.Type","majority.pos","return.pdol","mlsto","Year"
"1153",8,"Structural",63.95,"person",NA,NA,11.6446751255162,11.1934034544033,11.1114025760947,3.82842398155183,NA,NA,"midpro",-0.0751053686174255,"2010.082",2010
"1154",1,"Structural",100,"resources","C2274",NA,2.46621207433047,7.02415758400805,7.33138769104575,4.60517018598809,NA,"Hourly Rate","director",0.848214285714286,"2010.084",2010
"1155",1,"Structural",100,"person",NA,"school",5.8087857335637,7.12951809966588,7.0475172213573,4.60517018598809,NA,NA,"director",0.0267857142857143,"2010.085",2010
"1156",7,"Structural",94.24,"architect","C2108","school",4.57885697021333,9.62881348690598,12.8242972838027,4.37676280499878,"CN1487",NA,"seniorpro",1.22929936305732,"2010.086",2010
"1157",13,"Structural",55.5,"architect","C2688",NA,7.95284762774492,10.6642070180859,10.5589069050351,3.95546556327098,"CN1557",NA,"seniorpro",-0.198862432201394,"2010.088",2010
"1158",17,"Structural",55.66,"architect","C2053","community",10.6998748056508,11.246738991889,10.7663823599921,3.6691868207682,"CN1140","Fixed Quote","midpro",-0.126140094539776,"2010.089",2010
"1159",1,"Structural",100,"roads/rail","C2828",NA,3.30192724889463,8.63385246825299,8.67190028784364,4.60517018598809,NA,"Fixed Quote","director",0.363508967871602,"2010.091",2010
"1160",2,"Structural",100,"architect","C2053","school",1.91293118277239,7.37501855808137,10.7663823599921,4.38202663467388,NA,NA,"seniorpro",0.484848484848485,"2010.092",2010
"1161",1,"Structural",100,"manufacturer/supplier",NA,"architectural house",1,6.29660897673077,6.21460809842219,4.60517018598809,NA,"Hourly Rate","director",0.5625,"2010.094",2010
"1162",4,"Water",100,"lawyer",NA,"expert opinion",7.01357908349966,10.8628682575701,10.7808673792615,4.33060175268169,NA,NA,"director",0.210923328717109,"2010.095",2010
"1163",7,"Structural",72.69,"architect","C2032","architectural house",7.42895884144656,9.86501427737684,9.35573252190187,4.02927256547839,"CN1702",NA,"seniorpro",0.277377521613833,"2010.096",2010
"1164",16,"Structural",51.9,"architect","C2236",NA,8.43432665301749,11.7333569650572,10.6552538157508,3.81418964507938,"CN1876",NA,"seniorpro",0.441488232078011,"2010.100",2010
"1165",2,"Structural",59.02,"gov","C2557","art/sculpture",2.35133468772076,7.39522126539888,8.59415423255237,4.07787636951479,"CN1413",NA,"director",-0.250936329588015,"2010.103",2010
"1166",1,"Structural",100,"builder","C2863",NA,1,6.61869247589989,8.34626251154896,4.60517018598809,NA,"Hourly Rate","director",0.4375,"2010.104",2010
"1167",2,"Civil",31.39,"engineer",NA,NA,6.51083007152643,8.97899943105241,8.89699855274382,4.2284382967028,NA,NA,"midtech",0.219858156028369,"2010.105",2010
"1168",4,"Civil",86.21,"developer/real estate","C2543",NA,3.65930571002297,9.35651064080201,11.2221456661813,4.45678618022183,NA,NA,"seniorpro",0.865085306680753,"2010.106",2010
