"","X","no.users","Discipline","pc.pro","Business","JD.Second","inv.mlsto.log","client.totinv.log","pc.majpos.log","Billing.Type","majority.pos","return.pdol","Year","b.timespan.cbrt","b.inv.log","code.client","code.contact","mlsto","b.rpdol","f.rpdol","log","rf","boost","norm.log","norm.rf","norm.boost"
"265",265,2,"Water",94.17,"enviro_water","waste_wat_manage",9.1496856980917,10.0474749031134,4.54510165952197,"Fixed Quote","director",0.375922020381037,2005,"2.5m-9m","8k-60k","C2354",NA,"2005.050",0,"profit",0.132177974551803,0.161,0.119061030230295,0.509393068275297,0.401248052954778,-2.12811905825977
"266",266,2,"Structural",66.67,"architect","art_facade_awn_memb",5.2031144168257,8.50512061018197,4.19975507662997,"Fixed Quote","director",0.153846153846154,2005,"9m-1.5y","100-600","C2142",NA,"2005.052",0,"profit",0.768655698177046,0.558,0.859473516931166,0.916031940408241,0.746993975879324,-0.151435266814082
"267",267,2,"Structural",16.67,"builder","sign_product",7.56396841794372,7.35244110024358,4.19975507662997,"Fixed Quote","director",1.14864864864865,2005,"3wk-2.5m","600-2.5k","C2616",NA,"2005.053",0,"profit",0.316779915046503,0.315,0.172427286853719,0.681688361506619,0.561248608016091,-1.75777965686325
"268",268,2,"Structural",80.49,"architect","edu_exten_community",8.09348617472187,10.3335464065589,4.38813295310564,"Fixed Quote","director",0.441922563417891,2005,"9m-1.5y","2.5k-8k","C2314",NA,"2005.054",0,"profit",0.18734099381569,0.037,0.133782778197273,0.572195282947664,0.192353840616713,-2.01153785259711
"269",269,2,"Structural",21.97,"sign_manufac","edu_exten_community",8.40382627106623,7.70818612476176,4.45096950491079,"Fixed Quote","director",0.568690095846645,2005,"2.5m-9m","2.5k-8k","C2866",NA,"2005.056",0,"profit",0.150564129241981,0.119,0.0690853412302373,0.531994536616851,0.344963766213207,-2.67241270920457
"270",270,3,"Structural",47.68,"architect","edu_exten_community",10.0538417489649,9.35573252190187,3.93064846955131,"Hourly Rate","director",0.494065424092516,2005,"9m-1.5y","8k-60k","C2032",NA,"2005.058",0,"profit",0.130274475770409,0.165,0.20113317352413,0.506935973991458,0.406201920231798,-1.60378803546921
"271",271,1,"Structural",100,"biz_bldgserv_internal","residential",9.12838264900387,9.03190126869645,4.60517018598809,"Fixed Quote","director",0.0629370629370629,2005,"2.5m-9m","8k-60k","C2516",NA,"2005.062",0,"profit",0.0653297347879877,0.24,0.0681850144126945,0.40275131310982,0.489897948556636,-2.68553046829604
"272",272,3,"Structural",37.57,"architect","edu_exten_community",9.05891974225562,10.7663823599921,4.14440376209484,"Fixed Quote","director",0.73561811505508,2005,"9m-1.5y","8k-60k","C2053",NA,"2005.063",0,"profit",0.203298480896832,0.118,0.118485669001936,0.588000972680329,0.343511280746353,-2.13296326241291
"273",273,2,"Civil",69.77,"developer/real estate","civBldg_subdiv_sewer",8.56695601194409,10.328779797444,4.24520411795115,"Fixed Quote","director",0.210893854748603,2005,"2.5m-9m","2.5k-8k","C2966",NA,"2005.064",0,"profit",0.339237066957896,0.485,0.30161947856168,0.697430763172676,0.696419413859206,-1.19858906084335
"274",274,4,"Civil",19.96,"developer/real estate","heritage_expert",10.2244148577405,9.12031281452037,3.85142338329922,"Fixed Quote","seniorpro",0.68080192165558,2005,"2.5m-9m","8k-60k","C2040",NA,"2005.066",0,"profit",0.320840745235524,0.642,0.793086273042609,0.684588877379506,0.801249024960405,-0.231823270020697
"275",275,2,"Civil",20.77,"developer/real estate","waste_wat_manage",8.5388839931654,9.12031281452037,4.38202663467388,"Fixed Quote","director",0.331963975351556,2005,"1.5y-3y","2.5k-8k","C2040",NA,"2005.067",0,"profit",0.637467918376552,0.709,0.769468989993096,0.860635872965847,0.842021377400835,-0.262054625419585
"276",276,6,"Structural",14.95,"builder","hosp_health_carpark",12.0722743870485,11.3839547423763,3.72086249996699,"Hourly Rate","midtech",0.602744636750751,2005,">3y","60k-1.8m","C2683",NA,"2005.069",0,"profit",0.147016900373963,0.29,0.119023579543552,0.527783433402194,0.53851648071345,-2.12843365807441
"277",277,2,"Civil",11.63,"architect","residential",7.12082103531997,7.43313448375564,4.60517018598809,"Fixed Quote","seniortech",-0.0803603603603604,2005,"2.5m-9m","600-2.5k","C2472",NA,"2005.073",1,"loss",0.8451963603403,0.551,0.680497715867112,0.945480419884535,0.742293742395825,-0.384930813447151
"278",278,1,"Structural",100,"builder","edu_exten_community",7.86570224385115,8.34626251154896,4.60517018598809,"Hourly Rate","director",0.765913757700205,2005,"2.5m-9m","2.5k-8k","C2863",NA,"2005.074",0,"profit",0.0415048763002228,0.044,0.0490676192122093,0.346231338436261,0.20976176963403,-3.0145559482516
"279",279,2,"Civil",20.54,"builder","civBldg_subdiv_sewer",9.50808000536312,11.3839547423763,4.60517018598809,"Fixed Quote","seniorpro",-0.538616472347097,2005,"1.5y-3y","8k-60k","C2683",NA,"2005.075",1,"loss",0.359631230439269,0.269,0.121567838589328,0.71113567532173,0.518652099195598,-2.1072828297176
"280",280,1,"Structural",100,"architect","residential",5.8272687258987,9.35044747216883,4.60517018598809,"Hourly Rate","director",-0.686274509803922,2005,"3wk-2.5m","100-600","C2666",NA,"2005.076",1,"loss",0.317442458750673,0.477,0.392313982887182,0.682163279899048,0.69065186599328,-0.93569278304935
"281",281,2,"Structural",0.98,"architect","residential",9.47606995644522,9.28359083371578,4.40452171250125,"Fixed Quote","seniorpro",0.105678625670241,2005,"1.5y-3y","8k-60k",NA,NA,"2005.079",0,"profit",0.422900720185214,0.471,0.522597274686011,0.750607342231625,0.68629439747094,-0.648944140823094
"282",282,1,"Structural",100,"sign_manufac","hosp_health_carpark",6.8125523292598,8.44279717778255,4.60517018598809,"Fixed Quote","director",1.38095238095238,2005,"1d-3wk","600-2.5k","C2920",NA,"2005.081",0,"profit",0.0262354346187879,0.01,0.0412228028973881,0.297141118903657,0.1,-3.18876370735059
"283",283,1,"Structural",100,"builder","hosp_health_carpark",11.4545043593404,11.3839547423763,4.60517018598809,"Fixed Quote","director",0.688523142271909,2005,"9m-1.5y","60k-1.8m","C2683",NA,"2005.082",0,"profit",0.0293980327698441,0.133,0.0544670179285149,0.308630912744159,0.364691650576209,-2.9101599361292
"284",284,4,"Structural",33.22,"architect","edu_exten_community",9.97985411858195,10.3115020747913,4.1890484976914,"Fixed Quote","director",0.146467085144053,2005,"9m-1.5y","8k-60k","C2481",NA,"2005.083",0,"profit",0.259832954239738,0.119,0.132089230771183,0.638113712104343,0.344963766213207,-2.02427759408377
"285",285,1,"Structural",100,"engineer","hosp_health_carpark",7.60100968962407,11.7987991282354,4.60517018598809,"Fixed Quote","director",0.964285714285714,2005,"1d-3wk","600-2.5k","C2475",NA,"2005.084",0,"profit",0.0276580709575549,0.026,0.0373544800487412,0.302417762249921,0.161245154965971,-3.287302426839
"286",286,1,"Structural",100,"road_rail_gov_util","sign_product",5.2031144168257,6.1527326947041,4.60517018598809,"Fixed Quote","director",0.428571428571429,2005,"1d-3wk","100-600","C2910",NA,"2005.085",0,"profit",0.0784905027099436,0.103,0.0651498631977385,0.428159617274695,0.320936130717624,-2.73106507521796
"287",287,4,"Structural",13.05,"resources","edu_exten_community",12.3405120838619,11.2405027737074,4.36843468115441,"Fixed Quote","seniorpro",0.111305303003046,2005,"1.5y-3y","60k-1.8m","C2562",NA,"2005.086",0,"profit",0.445630162507349,0.388,0.457903353892483,0.763820879919547,0.622896460095897,-0.781097134837323
"288",288,6,"Structural",25.88,"architect","residential",11.703377534615,11.0063526186466,4.11120167928852,"Hourly Rate","director",0.292322685777982,2005,"1.5y-3y","60k-1.8m","C2695",NA,"2005.087",0,"profit",0.18541936561341,0.327,0.259631315547222,0.570232146758365,0.571839138219832,-1.34849267143041
"289",289,1,"Structural",100,"uni_school","edu_exten_community",6.30172670549381,6.10924758276437,4.60517018598809,"Fixed Quote","director",0.428571428571429,2005,"1d-3wk","100-600",NA,NA,"2005.088",0,"profit",0.0539325876026945,0.313,0.0614461471847058,0.377818963734603,0.559464029227975,-2.78959414331317
